Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,9.790000,9.900000,7.300000,7.460000,7.460000,539405700
2010-02-01,7.610000,8.200000,6.980000,7.910000,7.910000,349645100
2010-03-01,7.940000,9.740000,7.940000,9.270000,9.270000,362325900
2010-04-01,9.340000,10.240000,9.060000,9.070000,9.070000,545403600
2010-05-01,9.180000,9.780000,7.680000,8.570000,8.570000,714882100
2010-06-01,8.430000,9.190000,7.300000,7.320000,7.320000,600646700
2010-07-01,7.350000,8.250000,6.960000,7.490000,7.490000,708138000
2010-08-01,7.630000,7.770000,5.530000,5.610000,5.610000,670320000
2010-09-01,5.750000,7.440000,5.670000,7.110000,7.110000,643928600
2010-10-01,7.200000,7.680000,6.770000,7.340000,7.340000,602273500
2010-11-01,7.480000,8.240000,7.240000,7.290000,7.290000,430132400
2010-12-01,7.410000,8.430000,7.370000,8.180000,8.180000,345150800
2011-01-01,8.440000,9.250000,7.340000,7.830000,7.830000,661252800
2011-02-01,8.100000,9.580000,8.030000,9.210000,9.210000,559169900
2011-03-01,9.270000,9.390000,7.930000,8.600000,8.600000,431229300
2011-04-01,8.610000,9.140000,8.010000,9.100000,9.100000,349835500
2011-05-01,9.160000,9.170000,8.310000,8.680000,8.680000,307639900
2011-06-01,8.650000,8.680000,6.720000,6.990000,6.990000,468109800
2011-07-01,6.990000,7.870000,6.090000,7.340000,7.340000,511986100
2011-08-01,7.540000,7.580000,5.600000,6.830000,6.830000,582782600
2011-09-01,6.830000,7.440000,5.070000,5.080000,5.080000,546673900
2011-10-01,5.030000,6.050000,4.310000,5.830000,5.830000,489208600
2011-11-01,5.560000,6.000000,4.960000,5.690000,5.690000,374278500
2011-12-01,5.610000,5.840000,4.820000,5.400000,5.400000,246292700
2012-01-01,5.530000,6.950000,5.350000,6.710000,6.710000,348780400
2012-02-01,6.830000,7.680000,6.800000,7.350000,7.350000,315144700
2012-03-01,7.470000,8.350000,6.760000,8.020000,8.020000,340485500
2012-04-01,8.030000,8.240000,7.210000,7.360000,7.360000,346033400
2012-05-01,7.340000,7.720000,5.890000,6.080000,6.080000,356499800
2012-06-01,5.900000,6.140000,5.320000,5.730000,5.730000,305370800
2012-07-01,5.750000,6.080000,3.980000,4.060000,4.060000,422901800
2012-08-01,4.090000,4.470000,3.600000,3.720000,3.720000,378898100
2012-09-01,3.690000,4.020000,3.220000,3.370000,3.370000,596182800
2012-10-01,3.390000,3.410000,2.030000,2.050000,2.050000,673971900
2012-11-01,2.070000,2.350000,1.810000,2.200000,2.200000,589473800
2012-12-01,2.280000,2.590000,2.210000,2.400000,2.400000,505946700
2013-01-01,2.550000,2.930000,2.430000,2.600000,2.600000,578923500
2013-02-01,2.630000,2.840000,2.440000,2.490000,2.490000,288580100
2013-03-01,2.500000,2.750000,2.360000,2.550000,2.550000,256612600
2013-04-01,2.540000,2.820000,2.260000,2.820000,2.820000,405342300
2013-05-01,2.810000,4.420000,2.790000,4.000000,4.000000,956205200
2013-06-01,4.020000,4.210000,3.810000,4.080000,4.080000,432452200
2013-07-01,4.110000,4.650000,3.580000,3.770000,3.770000,887955000
2013-08-01,3.810000,3.870000,3.250000,3.270000,3.270000,436575700
2013-09-01,3.320000,4.000000,3.250000,3.810000,3.810000,549781400
2013-10-01,3.820000,4.130000,3.040000,3.340000,3.340000,909573300
2013-11-01,3.370000,3.680000,3.200000,3.640000,3.640000,312102400
2013-12-01,3.650000,3.880000,3.480000,3.870000,3.870000,313148800
2014-01-01,3.850000,4.600000,3.350000,3.430000,3.430000,770422000
2014-02-01,3.430000,3.770000,3.290000,3.710000,3.710000,317509100
2014-03-01,3.660000,4.140000,3.600000,4.010000,4.010000,451073000
2014-04-01,4.040000,4.350000,3.650000,4.090000,4.090000,592512300
2014-05-01,4.130000,4.240000,3.850000,4.000000,4.000000,310712200
2014-06-01,4.030000,4.500000,3.900000,4.190000,4.190000,431502500
2014-07-01,4.210000,4.800000,3.670000,3.910000,3.910000,1077778500
2014-08-01,3.910000,4.320000,3.870000,4.170000,4.170000,462568300
2014-09-01,4.160000,4.250000,3.400000,3.410000,3.410000,372572500
2014-10-01,3.390000,3.460000,2.540000,2.800000,2.800000,673408400
2014-11-01,2.810000,2.910000,2.590000,2.790000,2.790000,213816500
2014-12-01,2.770000,2.820000,2.350000,2.670000,2.670000,303879500
2015-01-01,2.670000,2.840000,2.140000,2.570000,2.570000,435408400
2015-02-01,2.690000,3.370000,2.650000,3.110000,3.110000,339665200
2015-03-01,3.130000,3.230000,2.530000,2.680000,2.680000,269815500
2015-04-01,2.660000,2.940000,2.250000,2.260000,2.260000,335187000
2015-05-01,2.260000,2.390000,2.200000,2.280000,2.280000,210397100
2015-06-01,2.290000,2.670000,2.250000,2.400000,2.400000,389269100
2015-07-01,2.470000,2.630000,1.610000,1.930000,1.930000,406747300
2015-08-01,1.930000,2.210000,1.650000,1.810000,1.810000,252729100
2015-09-01,1.770000,2.140000,1.650000,1.720000,1.720000,188468000
2015-10-01,1.770000,2.210000,1.720000,2.120000,2.120000,205349000
2015-11-01,2.130000,2.400000,1.940000,2.360000,2.360000,136451200
2015-12-01,2.360000,3.060000,2.200000,2.870000,2.870000,266450600
